model,year,price,mileage,tax,mpg,engineSize,manual,automatic,fuelType,petrol,diesel,hybrid
Fiesta,2015,7480,13967,125,54.3,1.2,1,0,4,1,0,0
GLC Class,2019,35490,2644,145,40.9,2,0,1,1,0,1,0
3 Series,2019,28990,6,145,42.2,2,0,1,4,1,0,0
Corsa,2015,6830,27561,30,55.4,1.4,1,0,4,1,0,0
I10,2019,9491,3000,145,49.6,1,1,0,4,1,0,0
X1,2016,17998,34813,145,55.4,2,0,1,1,0,1,0
X1,2017,20980,21330,160,44.8,2,0,1,4,1,0,0
Mokka,2014,7391,34789,205,43.5,1.6,1,0,4,1,0,0
Up,2015,9000,8173,20,62.8,1,0,1,4,1,0,0
Corsa,2016,6601,42507,30,55.4,1.4,1,0,4,1,0,0
5 Series,2020,54845,450,145,60.1,3,0,1,1,0,1,0
I20,2017,7350,32500,145,58.9,1.2,1,0,4,1,0,0
V Class,2018,19000,39292,145,46.3,2.1,1,0,1,0,1,0
E Class,2016,25412,24346,160,51.4,3,0,1,1,0,1,0
Yaris,2019,12690,9,145,47.1,1.5,1,0,4,1,0,0
2 Series,2019,22646,123,145,52.3,1.5,1,0,4,1,0,0
Yaris,2016,8853,14813,30,58,1.3,1,0,4,1,0,0
Q3,2019,32990,3300,145,31.7,2,0,1,4,1,0,0
T-Roc,2019,31000,2500,145,32.5,2,0,1,4,1,0,0
1 Series,2017,12498,37919,20,72.4,1.5,1,0,1,0,1,0
Kuga,2018,17750,16494,145,39.2,1.5,1,0,4,1,0,0
Tourneo Connect,2017,13950,15852,145,56.6,1.5,0,1,1,0,1,0
X2,2019,29970,3760,145,36.2,2,0,1,4,1,0,0
Polo,2015,7748,24252,20,60.1,1,1,0,4,1,0,0
I20,2014,4498,49854,30,57.6,1.2,1,0,4,1,0,0
Polo,2017,9995,32000,145,60.1,1.2,1,0,4,1,0,0
C-MAX,2014,5890,71300,30,55.4,1,1,0,4,1,0,0
Kona,2019,18995,7540,145,44.1,1,1,0,4,1,0,0
Astra,2018,11800,27063,145,51.4,1.4,1,0,4,1,0,0
A4,2017,19732,14578,145,50.4,1.4,0,1,4,1,0,0
Passat,2019,19000,4037,145,41.5,1.5,0,1,4,1,0,0
GLA Class,2014,15495,60895,145,55.4,2.1,0,1,1,0,1,0
Golf,2017,23490,17790,150,35.8,2,1,0,4,1,0,0
Zafira,2007,3000,66911,300,36.2,1.8,1,0,4,1,0,0
Corsa,2014,6830,12726,30,55.4,1.4,1,0,4,1,0,0
3 Series,2019,22382,10142,145,55.4,2,0,1,1,0,1,0
Tucson,2016,13999,18252,125,57.6,1.7,0,1,1,0,1,0
Mokka X,2018,11500,21600,145,39.2,1.4,1,0,4,1,0,0
Citigo,2017,7495,17600,145,64.2,1,1,0,4,1,0,0
A Class,2019,21499,9198,150,56.5,2,0,1,1,0,1,0
GLC Class,2018,28172,10149,145,56.5,2.1,0,1,1,0,1,0
A4,2017,17850,26461,30,67.3,2,1,0,1,0,1,0
Octavia,2017,16491,21103,125,56.5,2,0,1,1,0,1,0
Meriva,2015,5299,68300,150,47.1,1.4,1,0,4,1,0,0
Focus,2019,16000,5367,150,50.4,1,0,1,4,1,0,0
Ioniq,2019,18570,961,135,78.5,1.6,0,1,2,0,0,1
Aygo,2017,8999,12945,145,67.3,1,0,1,4,1,0,0
Karoq,2019,21000,10879,145,42.2,1.5,1,0,4,1,0,0
Auris,2016,13400,24610,0,78.5,1.8,0,1,2,0,0,1
Astra,2015,9000,25510,125,51.4,1.4,1,0,4,1,0,0
Corsa,2019,10998,6736,145,44.8,1.4,1,0,4,1,0,0
3 Series,2019,26498,13579,145,48.7,2,0,1,1,0,1,0
Auris,2011,7995,40000,0,70.6,1.8,0,1,4,1,0,0
CC,2015,11715,34291,145,53.3,2,0,1,1,0,1,0
1 Series,2013,11200,10239,145,48.7,1.6,0,1,4,1,0,0
A1,2017,11495,29464,150,67.3,1,1,0,4,1,0,0
RAV4,2019,33595,8000,140,49.6,2.5,0,1,2,0,0,1
X1,2019,28560,123,145,68.9,2,1,0,1,0,1,0
5 Series,2019,26350,3623,145,65.7,2,0,1,1,0,1,0
I20,2013,4995,41232,30,57.6,1.2,1,0,4,1,0,0
A3,2017,12560,23450,0,74.3,1.6,1,0,1,0,1,0
Shuttle,2019,23999,21399,145,32.8,2,0,1,1,0,1,0
2 Series,2020,21950,15,150,50.4,2,0,1,4,1,0,0
Fiesta,2018,9990,5029,145,65.7,1,1,0,4,1,0,0
I30,2016,9250,27000,20,72.4,1.6,0,1,1,0,1,0
1 Series,2015,11721,40057,30,65.7,2,1,0,1,0,1,0
Fiesta,2018,8691,12251,145,64.2,1.1,1,0,4,1,0,0
Polo,2017,10990,10687,20,58.9,1,1,0,4,1,0,0
Golf,2019,14995,17011,145,57.7,1.6,1,0,1,0,1,0
Santa Fe,2019,32149,10000,145,39.2,2.2,0,1,1,0,1,0
Yaris,2018,10495,5599,145,58.9,1.5,1,0,4,1,0,0
Yaris,2018,9900,16806,150,58.9,1.5,1,0,4,1,0,0
Crossland X,2020,17990,700,145,55.4,1.5,0,1,1,0,1,0
Kuga,2014,11995,40221,235,38.2,1.5,0,1,4,1,0,0
Octavia,2018,11998,12679,145,68.9,1.6,1,0,1,0,1,0
T-Cross,2019,18100,3378,145,47.9,1,1,0,4,1,0,0
Focus,2019,14540,5908,145,80.7,1.5,1,0,1,0,1,0
Astra,2017,9295,33339,125,51.4,1.4,1,0,4,1,0,0
Fabia,2019,13000,7908,145,60.1,1,1,0,4,1,0,0
C-MAX,2013,8295,34783,30,61.4,1.6,1,0,1,0,1,0
Ioniq,2017,16491,20257,140,78.5,1.6,0,1,2,0,0,1
4 Series,2017,19997,15333,160,45.6,2,0,1,4,1,0,0
X1,2019,22500,1272,145,54.3,1.5,1,0,4,1,0,0
2 Series,2020,20980,10,145,50.4,1.5,0,1,4,1,0,0
2 Series,2019,20980,1000,145,52.3,1.5,1,0,4,1,0,0
Passat,2017,9950,71924,20,67.3,2,1,0,1,0,1,0
S-MAX,2015,16990,38000,260,35.8,2,0,1,4,1,0,0
Astra,2019,14694,5468,145,58.9,1.6,1,0,1,0,1,0
4 Series,2018,24000,24848,145,36.7,3,1,0,4,1,0,0
A3,2015,15995,18939,20,68.9,2,1,0,1,0,1,0
A Class,2013,11998,54060,30,64.2,2.1,0,1,1,0,1,0
Corsa,2017,6491,21011,145,55.4,1.4,1,0,4,1,0,0
GLS Class,2019,47980,10514,145,37.2,3,0,1,1,0,1,0
Fiesta,2018,10600,23280,145,56.5,1,1,0,4,1,0,0
Fiesta,2018,12000,9684,150,60.1,1,1,0,4,1,0,0
X1,2017,14600,39460,150,68.9,2,1,0,1,0,1,0
Grandland X,2018,14499,8227,145,70.6,1.6,1,0,1,0,1,0
Q3,2016,16998,39882,145,52.3,2,1,0,1,0,1,0
Viva,2019,22985,10,150,46.3,1,1,0,4,1,0,0
Zafira,2017,10750,26856,200,41.5,1.4,1,0,4,1,0,0
Astra,2017,10799,16331,145,51.4,1.4,1,0,4,1,0,0
I10,2018,7991,11518,150,60.1,1,1,0,4,1,0,0
Fiesta,2017,8740,26928,0,65.7,1,1,0,4,1,0,0
A6,2019,36990,6508,145,39.2,3,0,1,1,0,1,0
3 Series,2017,20898,17131,150,64.2,2,0,1,1,0,1,0
Polo,2018,12401,25000,150,64.2,1,1,0,4,1,0,0
C Class,2018,19995,2077,145,65.7,1.6,0,1,1,0,1,0
Focus,2018,16399,10720,145,67.3,2,1,0,1,0,1,0
B Class,2014,8990,50554,30,64.2,1.5,0,1,1,0,1,0
X-CLASS,2019,23996,9160,260,35.8,2.3,0,1,1,0,1,0
Octavia,2017,11990,34442,145,65.7,2,1,0,1,0,1,0
Fabia,2019,14490,1707,145,51.4,1,1,0,4,1,0,0
Puma,2019,23999,1606,145,50.4,1,1,0,4,1,0,0
Fabia,2019,11900,4000,145,51.4,1,1,0,4,1,0,0
I10,2017,6299,1650,150,60.1,1,1,0,4,1,0,0
5 Series,2015,14495,35980,30,62.8,2,0,1,1,0,1,0
Polo,2016,10248,33060,20,60.1,1.2,0,1,4,1,0,0
Focus,2012,6195,31543,20,67.3,1.6,1,0,1,0,1,0
Golf,2019,16172,15518,145,54.3,1.6,0,1,1,0,1,0
Golf,2019,20390,3296,145,52.3,2,0,1,1,0,1,0
A1,2017,10998,30813,0,67.3,1,1,0,4,1,0,0
Aygo,2019,9495,9800,145,57.7,1,1,0,4,1,0,0
Sharan,2018,18997,16919,145,54.3,2,0,1,1,0,1,0
Verso,2016,13490,13992,165,43.5,1.8,0,1,4,1,0,0
Q5,2018,34995,8250,145,38.2,2,0,1,1,0,1,0
X3,2013,15341,68729,165,50.4,2,0,1,1,0,1,0
A1,2017,17490,18000,145,70.6,1.4,0,1,4,1,0,0
Aygo,2017,7295,14923,145,68.9,1,1,0,4,1,0,0
Golf,2019,19790,100,145,50.4,1.5,1,0,4,1,0,0
3 Series,2020,32980,1000,145,50.4,2,0,1,1,0,1,0
I10,2017,7600,32412,145,60.1,1,1,0,4,1,0,0
Tucson,2020,22750,3500,145,34.9,1.6,1,0,4,1,0,0
Yaris,2013,7499,19220,125,53.3,1.3,0,1,4,1,0,0
Golf,2015,9450,41214,0,68.9,1.6,1,0,1,0,1,0
I10,2014,5000,61825,30,57.6,1.2,1,0,4,1,0,0
Mokka X,2019,13140,15237,145,39.2,1.4,1,0,4,1,0,0
Tucson,2017,17750,33664,125,57.6,1.7,0,1,1,0,1,0
1 Series,2016,14417,22998,30,65.7,2,0,1,1,0,1,0
A1,2017,14990,15660,145,56.5,1.4,0,1,4,1,0,0
Focus,2015,13000,41599,200,41.5,2,1,0,4,1,0,0
Astra,2019,13998,5990,150,47.9,1.4,1,0,4,1,0,0
Focus,2019,15590,10,145,60.1,1,1,0,4,1,0,0
A4,2020,43395,8500,145,40.4,3,0,1,1,0,1,0
RAV4,2014,12998,41389,260,42.2,2.2,0,1,1,0,1,0
CL Class,2019,27980,4197,145,44.1,1.3,0,1,4,1,0,0
3 Series,2019,29990,4210,150,40.9,2,0,1,4,1,0,0
S-MAX,2013,10000,80611,205,47.1,2,0,1,1,0,1,0
Mokka X,2018,12990,27883,145,43.5,1.4,0,1,4,1,0,0
A1,2016,11232,36552,0,67.3,1,1,0,4,1,0,0
I20,2017,7459,39628,145,58.9,1.2,1,0,4,1,0,0
2 Series,2018,16750,13052,145,64.2,2,1,0,1,0,1,0
Astra,2016,9498,19521,125,51.4,1.4,1,0,4,1,0,0
C-HR,2018,19995,10312,140,74.3,1.8,0,1,2,0,0,1
Octavia,2019,18498,50,145,67.3,2,0,1,1,0,1,0
A Class,2016,14580,13232,30,65.7,2.1,1,0,1,0,1,0
C-HR,2018,22490,8829,135,74.3,1.8,0,1,2,0,0,1
Fiesta,2016,7550,46000,0,78.5,1.5,1,0,1,0,1,0
2 Series,2016,9500,59509,20,68.9,2,1,0,1,0,1,0
A Class,2019,21998,11578,150,53.3,1.3,0,1,4,1,0,0
A3,2019,22510,5505,145,52.3,1.6,0,1,1,0,1,0
Fiesta,2017,8199,36611,125,54.3,1.2,1,0,4,1,0,0
Fabia,2018,7995,16027,145,57.7,1,1,0,4,1,0,0
Mokka,2018,13000,11207,150,47.1,1.4,1,0,4,1,0,0
I10,2020,13495,3000,150,56.5,1,1,0,4,1,0,0
Tucson,2018,14990,12720,150,44.8,1.6,1,0,4,1,0,0
Fiesta,2019,13100,13704,145,58.9,1,1,0,4,1,0,0
Yaris,2018,9498,27098,150,58.9,1.5,1,0,4,1,0,0
Tiguan Allspace,2019,31291,3792,150,35.8,1.5,0,1,4,1,0,0
C-HR,2018,23500,16809,135,74.3,1.8,0,1,2,0,0,1
Fiesta,2018,14200,25059,145,40.3,1.5,1,0,4,1,0,0
Yaris,2018,10991,14999,145,56.5,1.5,1,0,4,1,0,0
Aygo,2017,7490,14281,145,68.9,1,1,0,4,1,0,0
Mokka X,2019,14995,19100,145,37.2,1.4,0,1,4,1,0,0
Yaris,2019,8495,14778,145,56.5,1.5,1,0,4,1,0,0
4 Series,2019,22446,10164,145,65.7,2,0,1,1,0,1,0
4 Series,2019,28995,1501,145,65.7,2,0,1,1,0,1,0
Octavia,2018,17917,7073,145,68.9,1.6,1,0,1,0,1,0
Astra,2016,7000,63970,0,78.5,1.6,1,0,1,0,1,0
E Class,2016,18304,45905,30,61.4,2,0,1,1,0,1,0
Mokka,2015,10108,16165,160,43.5,1.4,0,1,4,1,0,0
Scirocco,2009,6275,80000,260,37.2,2,1,0,4,1,0,0
C Class,2016,13200,52684,30,65.7,1.6,1,0,1,0,1,0
Fabia,2017,7800,32874,150,60.1,1.2,1,0,4,1,0,0
Mokka,2015,7998,31379,200,40.9,1.6,1,0,4,1,0,0
Kodiaq,2019,26850,7622,145,31.7,2,0,1,4,1,0,0
Up,2020,10250,1131,150,51.4,1,1,0,4,1,0,0
Superb,2020,35990,5000,135,176.6,1.4,0,1,2,0,0,1
Fabia,2018,12000,10370,150,60.1,1,1,0,4,1,0,0
Focus,2019,19498,6621,145,64.2,2,0,1,1,0,1,0
Golf,2016,11298,40404,0,74.3,1.6,1,0,1,0,1,0
Aygo,2017,8600,21779,145,68.9,1,1,0,4,1,0,0
Mokka,2016,9195,19560,30,65.7,1.6,1,0,1,0,1,0
X3,2018,29980,5458,145,56.5,2,0,1,1,0,1,0
I10,2019,12995,6000,145,60.1,1,1,0,4,1,0,0
Yaris,2016,7495,28443,0,66,1,1,0,4,1,0,0
Q3,2017,19990,21502,150,49.6,1.4,1,0,4,1,0,0
Focus,2015,12998,25878,20,67.3,2,1,0,1,0,1,0
Focus,2017,17700,17991,145,67.3,2,1,0,1,0,1,0
GLA Class,2016,17765,36308,125,56.5,2.1,0,1,1,0,1,0
Octavia,2017,13995,17000,145,65.7,2,1,0,1,0,1,0
Yeti Outdoor,2017,13990,12728,125,51.4,1.2,0,1,4,1,0,0
B-MAX,2013,6890,20881,20,70.6,1.6,1,0,1,0,1,0
Focus,2019,19990,2280,145,57.7,1.5,1,0,1,0,1,0
C-HR,2018,20998,27931,135,74.3,1.8,0,1,2,0,0,1
Astra,2017,8450,19500,145,51.4,1.4,1,0,4,1,0,0
Octavia,2016,15495,38283,125,56.5,2,0,1,1,0,1,0
X2,2019,29000,2472,145,48.7,2,0,1,1,0,1,0
Edge,2019,29999,16192,145,37.2,2,0,1,1,0,1,0
Octavia,2019,19950,18,145,54.3,2,1,0,1,0,1,0
Polo,2018,17712,12224,145,47.9,2,0,1,4,1,0,0
A1,2020,25888,5432,150,44.8,1.5,0,1,4,1,0,0
Astra,2018,11000,15376,145,52.3,1.4,1,0,4,1,0,0
X1,2019,25990,4357,145,60.1,2,0,1,1,0,1,0
A Class,2014,13532,31279,20,64.2,2.1,0,1,1,0,1,0
A4,2018,23132,15475,145,50.4,2,0,1,4,1,0,0
Santa Fe,2014,11991,69059,260,41.5,2.2,0,1,1,0,1,0
Q7,2020,59750,4500,145,33.2,3,0,1,1,0,1,0
M Class,2015,21998,22976,300,39.2,3,0,1,1,0,1,0
C-MAX,2019,13241,12210,145,48.7,1,1,0,4,1,0,0
I10,2017,7380,26628,145,57.7,1.2,1,0,4,1,0,0
A5,2020,31760,3092,145,50.4,2,0,1,1,0,1,0
A6,2018,19995,28850,145,64.2,2,0,1,1,0,1,0
A4,2018,17990,40442,145,68.9,2,1,0,1,0,1,0
A1,2017,12000,25679,30,55.4,1.4,1,0,4,1,0,0
2 Series,2016,17495,31000,260,36.2,3,1,0,4,1,0,0
Aygo,2016,8672,4079,0,67,1,0,1,4,1,0,0
Tucson,2019,21490,101,145,34.9,1.6,1,0,4,1,0,0
1 Series,2019,27730,123,145,53.3,2,1,0,1,0,1,0
Yaris,2017,12991,5722,140,76.3,1.5,0,1,2,0,0,1
I30,2016,10500,30700,205,41.5,1.6,0,1,4,1,0,0
Z4,2014,13498,22080,205,41.5,2,1,0,4,1,0,0
X2,2018,28990,12,145,52.3,2,1,0,1,0,1,0
X5,2019,52500,5597,145,37.7,3,0,1,1,0,1,0
Kuga,2017,12250,46929,30,64.2,1.5,1,0,1,0,1,0
Tucson,2016,13300,25071,30,61.7,1.7,1,0,1,0,1,0
Santa Fe,2016,17490,55000,235,42.8,2.2,0,1,1,0,1,0
Tucson,2019,26000,3469,145,40.4,2,0,1,2,0,0,1
C Class,2017,22495,12028,145,58.9,2.1,0,1,1,0,1,0
1 Series,2019,17980,8211,145,74.3,2,0,1,1,0,1,0
Kona,2019,22000,18,145,37.7,1.6,0,1,4,1,0,0
Grand C-MAX,2016,10490,26985,30,54.3,1,1,0,4,1,0,0
Auris,2017,15490,25201,0,78.5,1.8,0,1,2,0,0,1
Yaris,2017,9495,11373,30,58,1.3,1,0,4,1,0,0
Kuga,2017,13998,24504,150,64.2,1.5,1,0,1,0,1,0
1 Series,2013,8998,34750,30,65.7,2,1,0,1,0,1,0
Yaris,2015,7400,23487,30,58,1.3,1,0,4,1,0,0
Auris,2008,4975,34801,235,39.8,1.6,1,0,4,1,0,0
E Class,2017,19150,32844,150,56.5,2.1,0,1,1,0,1,0
I30,2019,17970,3000,150,44.8,1.4,1,0,4,1,0,0
Mokka,2017,13000,19798,160,43.5,1.4,0,1,4,1,0,0
TT,2020,53500,4000,145,30.7,2.5,0,1,4,1,0,0
A4,2015,14850,20434,145,49.6,1.8,1,0,4,1,0,0
X3,2016,24390,45646,200,47.1,3,0,1,1,0,1,0
Tucson,2016,11485,53963,30,61.7,1.7,1,0,1,0,1,0
I20,2018,12492,10751,150,49.6,1,0,1,4,1,0,0
B Class,2017,16998,2174,150,68.9,2.1,0,1,1,0,1,0
Ioniq,2019,23370,5653,135,78.5,1.6,0,1,2,0,0,1
T-Roc,2018,20995,7621,145,53.3,1.5,1,0,4,1,0,0
C-HR,2019,26791,2373,135,74.3,1.8,0,1,2,0,0,1
Octavia,2014,7295,78346,30,53.3,1.4,1,0,4,1,0,0
3 Series,2016,13498,45341,0,74.3,2,0,1,1,0,1,0
Aygo,2018,9291,11503,150,67,1,0,1,4,1,0,0
Polo,2018,10995,12800,150,60.1,1,1,0,4,1,0,0
Octavia,2019,12991,14608,145,68.9,1.6,1,0,1,0,1,0
Aygo,2016,5940,42000,0,69,1,1,0,4,1,0,0
A Class,2019,21450,11597,145,67.3,1.5,0,1,1,0,1,0
Tucson,2019,16611,10502,145,34.9,1.6,1,0,4,1,0,0
Touareg,2019,35990,25,145,34.9,3,0,1,1,0,1,0
B Class,2015,10991,50501,20,68.9,2.1,0,1,1,0,1,0
Astra,2018,10725,20054,145,49.6,1.4,1,0,4,1,0,0
I10,2020,11980,793,145,56.5,1,1,0,4,1,0,0
Focus,2017,12295,13849,145,74.3,1.5,1,0,1,0,1,0
Touran,2019,25595,4116,145,39.8,1.5,1,0,4,1,0,0
A5,2018,23015,14000,150,67.3,2,0,1,1,0,1,0
GLA Class,2016,15480,33283,20,67.3,2.1,0,1,1,0,1,0
RAV4,2016,19991,25252,20,57.6,2.5,0,1,2,0,0,1
Q2,2018,21850,10313,145,50.4,1.4,1,0,4,1,0,0
M Class,2014,16998,59812,300,39.2,3,0,1,1,0,1,0
Yeti Outdoor,2017,11595,32507,150,62.8,2,1,0,1,0,1,0
3 Series,2016,16690,30271,145,53.3,3,0,1,1,0,1,0
Fiesta,2019,13140,7,145,48.7,1.1,1,0,4,1,0,0
A3,2016,21490,44601,200,40.9,2,0,1,4,1,0,0
Land Cruiser,2017,38495,18256,300,38.2,2.8,0,1,1,0,1,0
Golf,2016,15890,38353,20,67.3,2,1,0,1,0,1,0
Q3,2019,27236,2401,145,48.7,2,0,1,1,0,1,0
Mokka,2014,8334,44738,200,43.5,1.6,1,0,4,1,0,0
Insignia,2015,6490,83000,145,53.3,2,0,1,1,0,1,0
Tucson,2017,13998,30335,150,57.6,1.7,0,1,1,0,1,0
Fiesta,2013,5989,60143,0,65.7,1,1,0,4,1,0,0
Tucson,2020,22995,1334,145,34.9,1.6,1,0,4,1,0,0
Astra,2018,10400,17353,145,62.8,1,1,0,4,1,0,0
Focus,2015,10000,19498,0,74.3,1.5,1,0,1,0,1,0
I30,2019,14298,1232,145,44.8,1,1,0,4,1,0,0
I10,2019,9491,4000,145,49.6,1,1,0,4,1,0,0
2 Series,2019,17980,7168,145,52.3,1.5,1,0,4,1,0,0
Golf,2019,19819,3332,145,45.6,1.5,0,1,4,1,0,0
A Class,2018,16130,18570,145,68.9,1.5,1,0,1,0,1,0
Tucson,2019,23991,10,145,36.2,1.6,0,1,4,1,0,0
Crossland X,2019,10599,18441,145,47.1,1.2,1,0,4,1,0,0
Tucson,2017,16794,26421,150,61.7,1.7,1,0,1,0,1,0
Octavia,2018,13295,15005,145,72.4,1.6,0,1,1,0,1,0
Tiguan,2017,23480,16004,160,50.4,2,1,0,1,0,1,0
5 Series,2019,31750,101,145,60.1,2,0,1,2,0,0,1
I800,2018,15500,31312,145,31.7,0,1,0,1,0,1,0
Fiesta,2017,11999,20479,145,47.9,1.6,1,0,4,1,0,0
Aygo,2018,9198,16372,150,67.3,1,0,1,4,1,0,0
X1,2019,26280,3646,145,48.7,2,0,1,4,1,0,0
Q2,2019,34990,853,145,41.5,1.5,0,1,4,1,0,0
B-MAX,2013,6598,18143,145,47.1,1.4,1,0,4,1,0,0
Octavia,2019,18495,1800,145,44.8,1.5,0,1,4,1,0,0
Fiesta,2017,10698,18747,145,65.7,1,1,0,4,1,0,0
I10,2014,6630,8896,20,60.1,1,1,0,4,1,0,0
Mokka X,2019,12998,11313,145,39.2,1.4,1,0,4,1,0,0
4 Series,2017,20489,14393,145,48.7,2,0,1,4,1,0,0
A4,2015,12490,38041,30,64.2,2,1,0,1,0,1,0
Yaris,2013,5690,29894,30,58.9,1,1,0,4,1,0,0
Q3,2017,21800,19319,145,40.4,2,0,1,4,1,0,0
Grandland X,2019,19839,4500,150,44.1,1.2,1,0,4,1,0,0
Combo Life,2019,17994,4912,145,53.3,1.5,1,0,1,0,1,0
Insignia,2014,7995,39856,165,50.4,2,1,0,1,0,1,0
T-Roc,2019,19995,12300,145,42.2,1.5,1,0,4,1,0,0
Citigo,2017,7298,12823,145,64.2,1,1,0,4,1,0,0
V Class,2018,20498,20841,145,46.3,2.1,1,0,1,0,1,0
GLA Class,2018,18950,11577,145,67.3,2.1,0,1,1,0,1,0
Polo,2017,10995,15014,150,60.1,1,1,0,4,1,0,0
Tiguan,2017,16790,31805,150,58.9,2,1,0,1,0,1,0
Fabia,2019,13654,12329,150,60.1,1,0,1,4,1,0,0
Yaris,2016,9700,19000,30,58,1.3,1,0,4,1,0,0
Q5,2015,20000,26190,200,47.1,2,0,1,1,0,1,0
C-HR,2017,17395,7325,140,74.3,1.8,0,1,2,0,0,1
Citigo,2017,6607,20868,145,64.2,1,1,0,4,1,0,0
A4,2019,24798,6223,145,38.7,2,1,0,4,1,0,0
Corsa,2019,10360,7497,145,43.5,1.4,1,0,4,1,0,0
Auris,2017,9995,21780,30,58.9,1.2,1,0,4,1,0,0
A4,2014,11495,42000,30,64.2,2,1,0,1,0,1,0
4 Series,2019,31480,5757,145,47.9,3,0,1,1,0,1,0
Superb,2016,11998,59585,30,62.8,2,0,1,1,0,1,0
Corolla,2019,17499,20,145,39.2,1.2,1,0,4,1,0,0
Fabia,2017,7495,50800,20,58.8,1.2,1,0,4,1,0,0
Yeti Outdoor,2017,12995,41974,125,51.4,1.2,0,1,4,1,0,0
Fabia,2016,7584,35108,20,60.1,1.2,1,0,4,1,0,0
A Class,2020,22990,2125,145,28.5,1.3,1,0,4,1,0,0
Tiguan,2017,25990,25049,150,44.1,2,0,1,1,0,1,0
Fiesta,2018,11110,18447,145,65.7,1,1,0,4,1,0,0
Tiguan,2019,29995,6283,150,31.4,2,0,1,1,0,1,0
Polo,2017,10461,26310,145,60.1,1.2,1,0,4,1,0,0
Yaris,2018,12495,12188,145,56.5,1.5,1,0,4,1,0,0
1 Series,2016,11980,49629,125,53.3,1.5,1,0,4,1,0,0
Q5,2018,30995,15706,145,40.4,2,0,1,4,1,0,0
Superb,2018,20495,9201,145,64.2,2,1,0,1,0,1,0
Mokka,2016,9498,16081,165,44.8,1.4,1,0,4,1,0,0
Corolla,2020,28990,2000,140,53.3,2,0,1,2,0,0,1
Tucson,2019,18995,100,145,35.3,1.6,1,0,4,1,0,0
Octavia,2019,18998,25,145,67.3,2,0,1,1,0,1,0
Yaris,2017,8695,26325,145,58.9,1.5,1,0,4,1,0,0
Kodiaq,2019,28690,7226,145,31.4,2,0,1,4,1,0,0
Ioniq,2020,26995,1290,135,1.1,1.6,0,1,2,0,0,1
3 Series,2016,11298,64308,20,68.9,2,1,0,1,0,1,0
3 Series,2017,22998,25585,145,51.4,3,0,1,1,0,1,0
Yeti,2013,6999,58000,30,61.4,1.6,1,0,1,0,1,0
I10,2014,5969,22000,30,57.6,1.2,1,0,4,1,0,0
Fiesta,2013,4695,64256,30,54.3,1.2,1,0,4,1,0,0
Kona,2018,16000,11282,150,52.3,1,1,0,4,1,0,0
Polo,2016,14299,7800,150,47,1.8,1,0,4,1,0,0
Zafira,2016,8699,42000,200,42.2,1.4,1,0,4,1,0,0
Auris,2016,13850,35041,0,78.5,1.8,0,1,2,0,0,1
B Class,2016,14980,12697,20,68.9,2.1,0,1,1,0,1,0
Tiguan,2017,16298,13083,145,46.3,1.4,1,0,4,1,0,0
Tucson,2019,18495,2450,145,35.3,1.6,1,0,4,1,0,0
Focus,2016,15291,36706,20,67.3,2,1,0,1,0,1,0
Beetle,2018,16995,15490,145,51.4,1.2,1,0,4,1,0,0
C Class,2017,14702,52207,145,53.3,2,1,0,4,1,0,0
4 Series,2016,21280,16635,160,50.4,3,0,1,1,0,1,0
Yaris,2020,13490,1034,150,47.9,1.5,1,0,4,1,0,0
Golf,2015,9995,56521,0,74.3,1.6,1,0,1,0,1,0
Yaris,2018,11990,6817,145,56.5,1.5,1,0,4,1,0,0
Yeti Outdoor,2016,9679,66677,145,53.3,2,1,0,1,0,1,0
Yeti Outdoor,2016,9350,22343,125,51.4,1.2,1,0,4,1,0,0
Karoq,2019,19000,11,150,43.5,1,1,0,4,1,0,0
Yaris,2017,10495,16548,145,58.9,1.5,1,0,4,1,0,0
Focus,2018,13997,12655,145,57.7,1,1,0,4,1,0,0
IX35,2015,8795,45163,145,53.3,1.7,1,0,1,0,1,0
Fiesta,2017,11450,25133,145,47.9,1.6,1,0,4,1,0,0
5 Series,2017,28920,22158,145,51.4,3,0,1,1,0,1,0
Fabia,2016,10299,4795,20,60.1,1.2,0,1,4,1,0,0
Up,2016,7000,38366,20,61.4,1,1,0,4,1,0,0
GLE Class,2017,31298,12122,145,47.9,2.1,0,1,1,0,1,0
GLC Class,2019,28480,5981,145,41.5,2.1,0,1,1,0,1,0
C Class,2020,33980,16,145,61.4,2,0,1,1,0,1,0
Q3,2019,25946,12186,145,48.7,2,0,1,1,0,1,0
Corsa,2018,7795,16302,145,55.4,1.4,1,0,4,1,0,0
Corsa,2019,9249,12329,145,43.5,1.4,1,0,4,1,0,0
Golf,2019,19990,1547,145,53.3,2,0,1,1,0,1,0
2 Series,2014,11999,31289,30,62.8,2,1,0,1,0,1,0
Astra,2016,9250,14500,235,38.2,1.6,0,1,4,1,0,0
C-HR,2019,25500,2560,135,74.3,1.8,0,1,2,0,0,1
A1,2015,9313,36796,0,67.3,1,1,0,4,1,0,0
Corsa,2019,9210,6265,145,43.5,1.4,1,0,4,1,0,0
Fabia,2017,6345,19264,145,60.1,1,1,0,4,1,0,0
1 Series,2019,20980,15,145,68.9,2,1,0,1,0,1,0
Golf,2019,18990,9018,145,46.3,1.5,0,1,4,1,0,0
E Class,2015,17802,32533,125,56.5,2.1,0,1,1,0,1,0
