model,year,price,mileage,tax,mpg,engineSize,manual,automatic,fuelType,petrol,diesel,hybrid
I20,2017,7899,31225,145,58.9,1.2,1,0,4,1,0,0
EcoSport,2020,16698,866,145,53.3,1,1,0,4,1,0,0
Galaxy,2017,18495,27678,125,56.5,2,1,0,1,0,1,0
Fiesta,2017,8995,26163,145,65.7,1,1,0,4,1,0,0
Auris,2015,12695,22277,0,72.4,1.8,0,1,2,0,0,1
Yaris,2016,12695,44186,0,78,1.5,0,1,2,0,0,1
TT,2015,17491,17462,160,44.1,2,0,1,4,1,0,0
Yaris,2019,12252,7403,145,47.9,1.5,1,0,4,1,0,0
A3,2018,17971,11532,145,56.5,1.5,0,1,4,1,0,0
Yaris,2017,9698,24260,145,58.9,1.5,1,0,4,1,0,0
T-Roc,2019,21498,14,150,50.4,1.6,1,0,1,0,1,0
I30,2016,8417,26199,145,48.7,1.4,1,0,4,1,0,0
3 Series,2016,18656,41200,150,53.3,3,0,1,1,0,1,0
I10,2016,5495,43845,20,60.1,1,1,0,4,1,0,0
Fabia,2018,8962,16194,150,64.2,1,1,0,4,1,0,0
A6,2019,31000,8500,145,50.4,2,0,1,1,0,1,0
Fabia,2017,9678,18084,20,60.1,1.2,1,0,4,1,0,0
B-MAX,2017,10500,7045,160,44.1,1.6,0,1,4,1,0,0
X1,2017,18500,12160,145,65.7,2,0,1,1,0,1,0
Corolla,2019,18495,4774,145,39.2,1.2,1,0,4,1,0,0
1 Series,2019,18440,3605,150,47.9,1.5,0,1,1,0,1,0
Fiesta,2018,11500,13870,145,56.5,1,1,0,4,1,0,0
Hilux,2013,12000,92007,260,32.8,3,0,1,1,0,1,0
Aygo,2017,5900,40000,145,69,1,1,0,4,1,0,0
Rapid,2016,6790,44994,20,57.7,1.2,1,0,4,1,0,0
Superb,2016,13450,52722,30,62.8,2,0,1,1,0,1,0
Octavia,2019,22500,5534,150,67.3,2,0,1,1,0,1,0
3 Series,2018,19785,30187,145,62.8,2,0,1,1,0,1,0
A4,2017,25000,26846,150,56.5,2,0,1,1,0,1,0
X6,2016,29480,24864,205,47.1,3,0,1,1,0,1,0
A Class,2020,26325,1550,145,28.5,1.3,0,1,4,1,0,0
Fiesta,2018,9500,27461,145,64.2,1.1,1,0,4,1,0,0
Golf,2019,29999,5599,150,32.8,2,0,1,4,1,0,0
Polo,2015,9999,65758,20,61.4,1.4,0,1,4,1,0,0
Tucson,2017,12495,34750,145,61.7,1.7,1,0,1,0,1,0
Golf,2019,15840,5980,145,54.3,1.6,0,1,1,0,1,0
Superb,2016,14595,13000,20,68.9,2,1,0,1,0,1,0
Yaris,2018,14995,5000,140,76.3,1.5,0,1,2,0,0,1
Golf,2016,15290,41588,20,67.3,2,1,0,1,0,1,0
A4,2016,15500,24625,20,70.6,2,1,0,1,0,1,0
Golf,2017,14690,39465,145,55.4,1.4,0,1,4,1,0,0
Crossland X,2020,15495,10,145,47.1,1.2,1,0,4,1,0,0
Fabia,2019,13795,8460,145,60.1,1,0,1,4,1,0,0
Polo,2017,13990,12198,150,47,1.8,1,0,4,1,0,0
I10,2017,6695,9121,20,60.1,1,1,0,4,1,0,0
Astra,2020,14990,100,145,54.3,1.2,1,0,4,1,0,0
I20,2014,5895,30950,30,57.6,1.2,1,0,4,1,0,0
Fiesta,2014,7132,29639,30,54.3,1.2,1,0,4,1,0,0
X2,2020,30413,101,145,39.2,2,0,1,4,1,0,0
Aygo,2017,8000,32000,145,68.9,1,1,0,4,1,0,0
3 Series,2019,28980,6129,145,50.4,2,0,1,1,0,1,0
X-CLASS,2018,39000,3161,260,31.4,3,0,1,1,0,1,0
Polo,2019,16999,2000,145,46.3,1,0,1,4,1,0,0
Aygo,2015,6790,30855,0,69,1,1,0,4,1,0,0
Scirocco,2013,7990,47000,160,44.1,1.4,1,0,4,1,0,0
GLA Class,2019,22480,12623,145,67.3,2.1,0,1,1,0,1,0
I10,2020,11895,1000,145,56.5,1,1,0,4,1,0,0
Q2,2019,25444,7801,145,46.3,1.6,1,0,1,0,1,0
Aygo,2017,6298,27695,0,69,1,1,0,4,1,0,0
A3,2017,11930,31780,145,62.8,1,1,0,4,1,0,0
2 Series,2017,16498,27811,145,64.2,2,0,1,1,0,1,0
X2,2019,34368,123,145,34,2,0,1,4,1,0,0
Golf,2018,15990,15237,145,70.6,1.6,0,1,1,0,1,0
Aygo,2016,8000,17035,0,67,1,0,1,4,1,0,0
3 Series,2017,13495,44247,145,67.3,2,0,1,1,0,1,0
Meriva,2014,6560,21071,145,47.1,1.4,1,0,4,1,0,0
X3,2019,37995,20467,150,36.7,3,0,1,1,0,1,0
Octavia,2017,10295,54333,0,74.3,1.6,1,0,1,0,1,0
A1,2018,17990,15000,150,54.3,1.4,1,0,4,1,0,0
Q8,2019,55995,1943,145,33.6,3,0,1,1,0,1,0
Aygo,2012,3950,55000,0,65.7,1,1,0,4,1,0,0
E Class,2018,30980,6951,145,70.6,2,0,1,1,0,1,0
I30,2017,11495,23505,150,51.4,1.4,0,1,4,1,0,0
Auris,2017,14500,50795,0,70.6,1.8,0,1,2,0,0,1
Karoq,2019,24695,5020,145,42.8,2,0,1,1,0,1,0
Yeti Outdoor,2015,9290,42459,145,55.4,2,1,0,1,0,1,0
Zafira,2017,10795,38679,205,41.5,1.4,1,0,4,1,0,0
X5,2020,52990,5899,145,37.7,3,0,1,1,0,1,0
Zafira,2017,11990,10284,200,41.5,1.4,1,0,4,1,0,0
B-MAX,2014,7199,38058,20,70.6,1.6,1,0,1,0,1,0
Aygo,2015,5875,50963,0,69,1,1,0,4,1,0,0
Golf,2017,13000,42944,0,74.3,1.6,1,0,1,0,1,0
Golf,2013,9990,61700,30,62.8,2,0,1,1,0,1,0
Octavia,2017,14491,36982,125,56.5,2,0,1,1,0,1,0
Q7,2019,43946,10386,145,32.8,3,0,1,1,0,1,0
GLC Class,2016,25998,21677,125,56.5,2.1,0,1,1,0,1,0
Tucson,2017,13498,22714,145,61.7,1.7,1,0,1,0,1,0
2 Series,2018,18980,12769,145,52.3,1.5,1,0,4,1,0,0
A4,2016,15990,55827,30,67.3,2,0,1,1,0,1,0
Aygo,2017,6750,25639,145,69,1,1,0,4,1,0,0
Golf,2019,15250,15302,145,49.6,1,1,0,4,1,0,0
Fiesta,2014,5995,58769,0,65.7,1,1,0,4,1,0,0
Astra,2017,9300,38193,20,62.8,1,1,0,4,1,0,0
C Class,2016,18700,33237,125,58.9,2.1,0,1,1,0,1,0
SL CLASS,2018,26254,1670,145,47.1,2,0,1,4,1,0,0
1 Series,2016,14980,28000,20,68.9,1.5,0,1,1,0,1,0
E Class,2019,38780,6012,145,57.7,2,0,1,1,0,1,0
Mokka X,2019,14999,5152,145,39.2,1.4,1,0,4,1,0,0
A3,2014,10998,50573,20,60.1,1.4,1,0,4,1,0,0
C Class,2018,27990,8400,145,57.7,2,0,1,1,0,1,0
Golf,2019,27990,10,145,37.7,2,0,1,4,1,0,0
Tucson,2017,15498,19900,125,57.6,1.7,0,1,1,0,1,0
Kodiaq,2019,26995,6800,145,39.8,2,0,1,1,0,1,0
Kuga,2019,16500,13278,145,54.3,1.5,1,0,1,0,1,0
Prius,2013,11500,33905,0,70.6,1.8,0,1,2,0,0,1
Fiesta,2017,7995,18250,125,54.3,1.2,1,0,4,1,0,0
A1,2017,12700,27179,0,76.3,1.6,1,0,1,0,1,0
Focus,2013,2995,130000,0,76.4,1.6,1,0,1,0,1,0
